id,date,student_id,attendance
1,2023-01-01,1,False
2,2023-01-02,1,True
3,2023-01-03,1,True
4,2023-01-04,1,True
5,2023-01-05,1,True
6,2023-01-06,1,True
7,2023-01-07,1,True
8,2023-01-08,1,True
9,2023-01-09,1,True
10,2023-01-10,1,True
11,2023-01-11,1,True
12,2023-01-12,1,True
13,2023-01-13,1,True
14,2023-01-14,1,True
15,2023-01-15,1,True
16,2023-01-16,1,True
17,2023-01-17,1,True
18,2023-01-18,1,True
19,2023-01-19,1,True
20,2023-01-20,1,True
21,2023-01-21,1,True
22,2023-01-22,1,True
23,2023-01-23,1,True
24,2023-01-24,1,True
25,2023-01-25,1,False
26,2023-01-26,1,True
27,2023-01-27,1,True
28,2023-01-28,1,True
29,2023-01-29,1,True
30,2023-01-30,1,True
31,2023-01-31,1,True
32,2023-01-01,2,True
33,2023-01-02,2,True
34,2023-01-03,2,True
35,2023-01-04,2,True
36,2023-01-05,2,True
37,2023-01-06,2,True
38,2023-01-07,2,False
39,2023-01-08,2,True
40,2023-01-09,2,True
41,2023-01-10,2,True
42,2023-01-11,2,False
43,2023-01-12,2,True
44,2023-01-13,2,True
45,2023-01-14,2,True
46,2023-01-15,2,True
47,2023-01-16,2,True
48,2023-01-17,2,True
49,2023-01-18,2,True
50,2023-01-19,2,True
51,2023-01-20,2,True
52,2023-01-21,2,False
53,2023-01-22,2,False
54,2023-01-23,2,True
55,2023-01-24,2,True
56,2023-01-25,2,True
57,2023-01-26,2,True
58,2023-01-27,2,True
59,2023-01-28,2,True
60,2023-01-29,2,True
61,2023-01-30,2,False
62,2023-01-31,2,True
63,2023-01-01,3,True
64,2023-01-02,3,True
65,2023-01-03,3,True
66,2023-01-04,3,True
67,2023-01-05,3,True
68,2023-01-06,3,True
69,2023-01-07,3,True
70,2023-01-08,3,True
71,2023-01-09,3,False
72,2023-01-10,3,True
73,2023-01-11,3,False
74,2023-01-12,3,True
75,2023-01-13,3,True
76,2023-01-14,3,True
77,2023-01-15,3,True
78,2023-01-16,3,True
79,2023-01-17,3,True
80,2023-01-18,3,True
81,2023-01-19,3,True
82,2023-01-20,3,True
83,2023-01-21,3,True
84,2023-01-22,3,True
85,2023-01-23,3,True
86,2023-01-24,3,True
87,2023-01-25,3,True
88,2023-01-26,3,True
89,2023-01-27,3,True
90,2023-01-28,3,True
91,2023-01-29,3,True
92,2023-01-30,3,False
93,2023-01-31,3,True
94,2023-01-01,4,True
95,2023-01-02,4,True
96,2023-01-03,4,False
97,2023-01-04,4,False
98,2023-01-05,4,True
99,2023-01-06,4,True
100,2023-01-07,4,True
101,2023-01-08,4,True
102,2023-01-09,4,True
103,2023-01-10,4,True
104,2023-01-11,4,True
105,2023-01-12,4,True
106,2023-01-13,4,True
107,2023-01-14,4,True
108,2023-01-15,4,False
109,2023-01-16,4,False
110,2023-01-17,4,True
111,2023-01-18,4,True
112,2023-01-19,4,True
113,2023-01-20,4,True
114,2023-01-21,4,False
115,2023-01-22,4,True
116,2023-01-23,4,False
117,2023-01-24,4,True
118,2023-01-25,4,False
119,2023-01-26,4,True
120,2023-01-27,4,True
121,2023-01-28,4,True
122,2023-01-29,4,True
123,2023-01-30,4,True
124,2023-01-31,4,True
125,2023-01-01,5,True
126,2023-01-02,5,True
127,2023-01-03,5,True
128,2023-01-04,5,True
129,2023-01-05,5,True
130,2023-01-06,5,True
131,2023-01-07,5,True
132,2023-01-08,5,True
133,2023-01-09,5,False
134,2023-01-10,5,True
135,2023-01-11,5,True
136,2023-01-12,5,False
137,2023-01-13,5,True
138,2023-01-14,5,False
139,2023-01-15,5,True
140,2023-01-16,5,False
141,2023-01-17,5,True
142,2023-01-18,5,True
143,2023-01-19,5,False
144,2023-01-20,5,True
145,2023-01-21,5,True
146,2023-01-22,5,True
147,2023-01-23,5,True
148,2023-01-24,5,True
149,2023-01-25,5,True
150,2023-01-26,5,True
151,2023-01-27,5,True
152,2023-01-28,5,False
153,2023-01-29,5,True
154,2023-01-30,5,True
155,2023-01-31,5,True
156,2023-01-01,6,True
157,2023-01-02,6,True
158,2023-01-03,6,True
159,2023-01-04,6,True
160,2023-01-05,6,True
161,2023-01-06,6,True
162,2023-01-07,6,True
163,2023-01-08,6,True
164,2023-01-09,6,True
165,2023-01-10,6,True
166,2023-01-11,6,False
167,2023-01-12,6,True
168,2023-01-13,6,False
169,2023-01-14,6,True
